name,rating,price,link
"Crucial BX500 1TB CT1000BX500SSD1-Up to 540 MB/s (Internal SSD, 3D NAND, SATA, 2.5 Inch) , Black",4.8 ,74.18,http://www.amazon.co.uk/Crucial-BX500-CT1000BX500SSD1-Internal-NAND/dp/B07YD579WM/ref=sr_1_3?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-3
"Crucial MX500 1 TB CT1000MX500SSD1-Up to 560 MB/s (3D NAND, SATA, 2.5 Inch, Internal SSD), Black",4.8 ,82.93,http://www.amazon.co.uk/Crucial-MX500-CT1000MX500SSD1-NAND-Internal/dp/B078211KBB/ref=sr_1_4?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-4
Samsung 870 QVO 1 TB SATA 2.5 Inch Internal Solid State Drive (SSD) (MZ-77Q1T0),4.8 ,91.99,http://www.amazon.co.uk/Samsung-Internal-Solid-State-MZ-77Q1T0/dp/B089QXQ1TV/ref=sr_1_5?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-5
WD Blue SN550 1TB High-Performance M.2 Pcie NVMe SSD,4.8 ,83.98,http://www.amazon.co.uk/WD-Blue-SN550-High-Performance-Pcie/dp/B07YFFX5MD/ref=sr_1_6?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-6
"Samsung SSD 870 EVO, 1 TB, Form Factor 2.5&rdquo;, Intelligent Turbo Write, Magician 6 Software, Black (Internal SSD)",4.8 ,107.49,http://www.amazon.co.uk/Samsung-Intelligent-Magician-Software-Internal/dp/B08PC5DKZQ/ref=sr_1_7?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-7
"WD Blue 3D NAND Internal SSD 2.5 Inch SATA - 1 TB, Blue - High Performance",4.8 ,83.98,http://www.amazon.co.uk/WD-Blue-NAND-Internal-Inch/dp/B073SBQMCX/ref=sr_1_8?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-8
Samsung 860 QVO 1 TB SATA 2.5 Inch Internal Solid State Drive (SSD) (MZ-76Q1T0),4.9 ,89.08,http://www.amazon.co.uk/Samsung-SSD-860-QVO-1TB/dp/B07KSHCG3R/ref=sr_1_9?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-9
"SanDisk SSD PLUS 1 TB Sata III 2.5 Inch Internal SSD, Up to 535 MB/s, Black",4.8 ,96.98,http://www.amazon.co.uk/SanDisk-SDSSDA-1T00-G26-Internal-Speed-Write/dp/B07D998212/ref=sr_1_10?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-10
"Samsung T5 1 TB USB 3.1 Gen 2 (10 Gbps, Type-C) External Solid State Drive (Portable SSD) Deep Black (MU-PA1T0B)",4.8 ,107.80,http://www.amazon.co.uk/Samsung-MU-PA1T0B-Portable-SSD-1TB/dp/B074M774TW/ref=sr_1_12?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-12
Samsung 970 EVO Plus 1 TB PCIe NVMe M.2 (2280) Internal Solid State Drive (SSD) (MZ-V7S1T0),4.9 ,137.53,http://www.amazon.co.uk/Samsung-MZ-V7S1T0BW-Solid-State-Drive/dp/B07MBQPQ62/ref=sr_1_13?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-13
"Crucial P2 CT1000P2SSD8 1 TB Internal SSD, Up to 2400 MB/s (3D NAND, NVMe, PCIe, M.2)",4.7 ,90.39,http://www.amazon.co.uk/Crucial-CT1000P2SSD8-Internal-2400-NAND/dp/B089DNM8LR/ref=sr_1_14?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-14
"LEVEN SSD 2.5"" 1TB JS600 retail",4.3 ,70.68,http://www.amazon.co.uk/SSD-1TB-LEVEN-JS600-retail/dp/B07YBYZQ1V/ref=sr_1_15?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-15
"WD Green 1 TB Internal SSD 2.5 Inch SATA, Green-Performance",4.7 ,79.96,http://www.amazon.co.uk/Western-Digital-WDS100T2G0A-GREEN-SATA/dp/B07NNRTTCM/ref=sr_1_17?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-17
"Crucial CT1000X8SSD9 X8 1 TB Portable SSD – Up to 1050 MB/s – USB 3.2 – External Solid State Drive, USB-C, USB-A , Black",4.6 ,121.52,http://www.amazon.co.uk/Crucial-CT1000X8SSD9-Portable-USB-C-Black/dp/B07YD5TK4F/ref=sr_1_18?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-18
"Crucial P5 1 TB CT1000P5SSD8 Internal Solid State Drive-up to 3400 MB/s (3D NAND, NVMe, PCIe, M.2, 2280SS) , Black",4.8 ,117.57,http://www.amazon.co.uk/Crucial-CT1000P5SSD8-Internal-Drive-up-2280SS/dp/B087QRVVVH/ref=sr_1_19?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-19
WD_BLACK SN750 1TB High-Performance NVMe Internal Gaming SSD,4.9 ,104.98,http://www.amazon.co.uk/Black-SN750-High-Performance-Internal-Gaming/dp/B07M64QXMN/ref=sr_1_20?dchild=1&keywords=ssd+1tb&qid=1623945309&sr=8-20
Sabrent Rocket Q 1TB NVMe PCIe M.2 2280 Internal SSD High Performance Solid State Drive R/W 3200/2000MB/s (SB-RKTQ-1TB),4.8 ,N/A,http://www.amazon.co.uk/Sabrent-Rocket-Internal-Performance-SB-RKTQ-1TB/dp/B07ZZYWTBP/ref=sr_1_17?dchild=1&keywords=ssd+1tb&qid=1623945315&sr=8-17
Samsung 980 1 TB PCIe 3.0 (up to 3.500 MB/s) NVMe M.2 Internal Solid State Drive (SSD) (MZ-V8V1T0BW),4.8 ,118.97,http://www.amazon.co.uk/Samsung-3-500-Internal-Solid-MZ-V8V1T0BW/dp/B08TJ2649W/ref=sr_1_18?dchild=1&keywords=ssd+1tb&qid=1623945315&sr=8-18
